,price,type,address,url,agent_url,postcode,number_bedrooms,search_date
0,354950.0,2 bedroom duplex for sale,"Mason Street, Manchester, Greater Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-56818107.html,http://www.rightmove.co.uk/estate-agents/agent/Cushman-and-Wakefield/Manchester-182387.html,M4,2,2019-02-12 13:46:51.052714
1,3500000.0,4 bedroom penthouse for sale,"Beetham Tower, 301 Deansgate M3 4LX",http://www.rightmove.co.uk/property-for-sale/property-57211584.html,http://www.rightmove.co.uk/estate-agents/agent/Rendall-and-Rittner-Sales-and-Lettings/Manchester-39531.html,M3,4,2019-02-12 13:46:51.052714
2,2000000.0,4 bedroom penthouse for sale,"Leftbank, Spinningfields, Manchester, Greater Manchester, M3",http://www.rightmove.co.uk/property-for-sale/property-69541081.html,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank/Birmingham-187751.html,M3,4,2019-02-12 13:46:51.052714
3,2000000.0,3 bedroom flat for sale,"1 Rice Street, Castlefield, Manchester, Greater Manchester, M3",http://www.rightmove.co.uk/property-for-sale/property-77330930.html,http://www.rightmove.co.uk/estate-agents/agent/Bridgfords/Manchester-102.html,M3,3,2019-02-12 13:46:51.052714
4,1250000.0,3 bedroom apartment for sale,"No1 Deansgate, Manchester",http://www.rightmove.co.uk/property-for-sale/property-67320020.html,http://www.rightmove.co.uk/estate-agents/agent/City-Centre-Chic/Manchester-77471.html,No1,3,2019-02-12 13:46:51.052714
5,1075034.0,3 bedroom penthouse for sale,"Store Street,
Manchester,
M1",http://www.rightmove.co.uk/property-for-sale/property-77831270.html,http://www.rightmove.co.uk/developer/branch/Alliance-Investments/Oxygen-160442.html,M1,3,2019-02-12 13:46:51.052714
6,895000.0,4 bedroom apartment for sale,"Beetham Tower, 301 Deansgate, Manchester",http://www.rightmove.co.uk/property-for-sale/property-58279551.html,http://www.rightmove.co.uk/estate-agents/agent/Reside-Manchester/Manchester-103987.html,,4,2019-02-12 13:46:51.052714
7,850000.0,3 bedroom apartment for sale,"Beetham Tower, 301 Deansgate, Manchester",http://www.rightmove.co.uk/property-for-sale/property-58414434.html,http://www.rightmove.co.uk/estate-agents/agent/Reside-Manchester/Manchester-103987.html,,3,2019-02-12 13:46:51.052714
8,850000.0,3 bedroom apartment for sale,"No1 Deansgate, Manchester",http://www.rightmove.co.uk/property-for-sale/property-67320023.html,http://www.rightmove.co.uk/estate-agents/agent/City-Centre-Chic/Manchester-77471.html,No1,3,2019-02-12 13:46:51.052714
9,750000.0,3 bedroom town house for sale,"Loom Street, Ancoats, Manchester ",http://www.rightmove.co.uk/property-for-sale/property-72383138.html,http://www.rightmove.co.uk/estate-agents/agent/Julie-Twist-Properties/Manchester-31064.html,,3,2019-02-12 13:46:51.052714
